name,continent
나미비아,AFRICA
덴마크,EUROPE
레소토,AFRICA
보스니아헤르체고비나,EUROPE
불가리아,EUROPE
세르비아,EUROPE
스위스,EUROPE
슬로바키아,EUROPE
우루과이,AMERICA
체코,EUROPE
파나마,AMERICA
프랑스,EUROPE
헝가리,EUROPE
홍콩,ASIA
볼리비아,AMERICA
가나,AFRICA
가봉,AFRICA
가이아나,AMERICA
감비아,AFRICA
과테말라,AMERICA
그레나다,AMERICA
그리스,EUROPE
기니,AFRICA
기니비사우,AFRICA
나우루,OCEANIA
나이지리아,AFRICA
남수단,AFRICA
남아프리카 공화국,AFRICA
네덜란드,EUROPE
네팔,ASIA
노르웨이,EUROPE
뉴질랜드,OCEANIA
니제르,AFRICA
니카라과,AMERICA
도미니카 연방,AMERICA
도미니카 공화국,AMERICA
독일,EUROPE
동티모르,ASIA
라오스,ASIA
라이베리아,AFRICA
라트비아,EUROPE
러시아,EUROPE
레바논,ASIA
룩셈부르크,EUROPE
르완다,AFRICA
리비아,AFRICA
리투아니아,EUROPE
마다가스카르,AFRICA
마셜제도,OCEANIA
말라위,AFRICA
말레이시아,ASIA
말리,AFRICA
멕시코,AMERICA
모나코,EUROPE
모로코,AFRICA
모리셔스,AFRICA
모리타니,AFRICA
모잠비크,AFRICA
몰디브,ASIA
몰타,EUROPE
몽골,ASIA
미얀마,ASIA
미크로네시아,OCEANIA
바누아투,OCEANIA
바레인,ASIA
바베이도스,AMERICA
바하마,AMERICA
방글라데시,ASIA
베냉,AFRICA
베네수엘라,AMERICA
베트남,ASIA
벨기에,EUROPE
벨리즈,AMERICA
보츠와나,AFRICA
부룬디,AFRICA
부르키나파소,AFRICA
부탄,ASIA
브라질,AMERICA
브루나이,ASIA
사우디아라비아,ASIA
산마리노,EUROPE
상투메 프린시페,AFRICA
세네갈,AFRICA
세이셸,AFRICA
세인트루시아,AMERICA
세인트빈센트 그레나딘,AMERICA
소말리아,AFRICA
솔로몬제도,OCEANIA
수단,AFRICA
수리남,AMERICA
스리랑카,ASIA
스웨덴,EUROPE
스페인,EUROPE
슬로베니아,EUROPE
시리아,ASIA
시에라리온,AFRICA
신트마르턴,AMERICA
싱가포르,ASIA
아루바,AMERICA
아르메니아,ASIA
아르헨티나,AMERICA
아이슬란드,EUROPE
아이티,AMERICA
아일랜드,EUROPE
아제르바이잔,ASIA
아프가니스탄,ASIA
안도라,EUROPE
알바니아,EUROPE
알제리,AFRICA
앙골라,AFRICA
앤티가바부다,AMERICA
에리트레아,AFRICA
에스토니아,EUROPE
에콰도르,AMERICA
에티오피아,AFRICA
엘살바도르,AMERICA
영국,EUROPE
예멘,ASIA
오만,ASIA
오스트리아,EUROPE
온두라스,AMERICA
요르단,ASIA
우간다,AFRICA
우즈베키스탄,ASIA
우크라이나,EUROPE
이라크,ASIA
이란,ASIA
이스라엘,ASIA
이집트,AFRICA
이탈리아,EUROPE
인도,ASIA
인도네시아,ASIA
일본,ASIA
자메이카,AMERICA
잠비아,AFRICA
적도 기니,AFRICA
조지아,EUROPE
중국,ASIA
중앙아프리카 공화국 ,AFRICA
지부티,AFRICA
짐바브웨,AFRICA
차드,AFRICA
칠레,AMERICA
카메룬,AFRICA
카보베르데,AFRICA
카자흐스탄,ASIA
카타르,ASIA
캐나다,AMERICA
케냐,AFRICA
코모로,AFRICA
코스타리카,AMERICA
코트디부아르,AFRICA
콜롬비아,AMERICA
콩고 공화국,AFRICA
콩고 민주 공화국,AFRICA
쿠바,AMERICA
쿠웨이트,ASIA
퀴라소,AMERICA
크로아티아,EUROPE
키르기스스탄,ASIA
키리바시,OCEANIA
키프로스,EUROPE
대만,ASIA
타지키스탄,ASIA
탄자니아,AFRICA
태국,ASIA
터키,EUROPE
토고,AFRICA
통가,OCEANIA
투르크메니스탄,ASIA
투발루,OCEANIA
튀니지,AFRICA
트리니다드토바고,AMERICA
파라과이,AMERICA
파키스탄,ASIA
파푸아뉴기니,OCEANIA
팔라우,OCEANIA
페루,AMERICA
포르투갈,EUROPE
폴란드,EUROPE
피지,OCEANIA
핀란드,EUROPE
필리핀,ASIA
대한민국,ASIA
호주,OCEANIA
코소보,EUROPE
벨라루스,EUROPE
괌,OCEANIA
그린란드,AMERICA
니우에,OCEANIA
레위니옹,AFRICA
루마니아,EUROPE
리히텐슈타인,EUROPE
마카오,ASIA
버뮤다,AMERICA
북마리아나제도,OCEANIA
아랍에미리트,ASIA
캄보디아,ASIA
미국,AMERICA
팔레스타인,ASIA
몬테네그로,EUROPE
몰도바 공화국,EUROPE
사모아,OCEANIA
에스와티니,AFRICA
